"","...1","...2","total_pop","no_rent_burden","rent_burden","severe_burden","median_income","commuters_by_public_transportation","cluster","deaths_per10000","confirmed_cases_per1000"
"630",630,630,0.0372519502668098,0.382586052810794,0.8039973913183,0.363977775950442,0.339693358127076,-0.0413577446952778,4,10.6880185500525,96.907720734756
"631",631,631,-0.335523414782505,1.92751866234403,-0.902133585876974,-1.92397572318208,-0.181215004933528,-0.0986794751683512,4,19.4958919370561,79.7939005709511
"632",632,632,-0.343006151734367,0.351226171983537,-0.95253103494043,-1.30966321462616,-0.0880785118456676,-0.0983422885185096,4,1.95733020160501,67.1364259150519
"633",633,633,-0.331630369206197,-0.17589845894729,-1.52806647905379,-0.939628508972084,-0.183350813128827,-0.0962770202882298,4,13.318803729265,77.3701416636397
"634",634,634,-0.336986015393269,0.881767035838421,-1.91163398704027,0.69825876299104,-1.42509444210285,-0.0985108818434304,4,10.3305785123967,53.1286894923259
"635",635,635,-0.340904340486306,-0.615731700370788,0.251979949813882,0.417146103272829,-1.14736309784986,-0.0989323651557324,4,5.27148128624143,102.091020910209
"636",636,636,-0.314873660974225,-0.691102817364102,-0.680405176094962,-0.218751867418067,-0.30158305251145,-0.099058810149423,4,11.6288084347624,86.2082331963718
"637",637,637,-0.303039235785396,-0.123598181977617,0.934728044398853,-1.21048181177857,0.435881005779649,-0.0988902168245022,4,15.4549950544016,62.4381800197824
"638",638,638,-0.340615431723685,1.41671296610369,-1.80921234455183,-1.1047010649,1.14756280799892,-0.0992274034743438,4,1.73280194073817,57.7023046265812
"639",639,639,-0.311244244643809,0.649541439815381,-0.169398506923508,-0.455205413782534,-0.381523302106927,-0.0989745134869626,4,28.0494821634062,79.042002301496
"640",640,640,-0.313385780846731,0.509402499429016,0.70922776021308,-0.993358772572297,-0.396245122881667,-0.0987637718308116,4,30.8015926677184,88.7236120501841
"641",641,641,-0.30875240656621,-0.273945781992259,-0.192888779973895,1.86739956947979,-0.574279991732663,-0.097162135244064,4,19.1859668356859,65.0952446210772
"642",642,642,-0.308329877500878,1.31244074706336,0.347342935992037,-0.683100125299866,0.326649672362929,-0.0991009584806532,4,17.6738495003739,88.3692475018694
"643",643,643,-0.318391125159127,0.783070334840161,-0.115567654415689,-0.33066298307388,0.417726636119608,-0.0992274034743438,4,10.062893081761,51.1530398322851
"644",644,644,-0.256102395938211,-0.485480174328622,-0.390381160257915,0.149370862585462,-0.144143476972267,-0.0960662786320788,4,9.59791588112296,84.9072772769341
"645",645,645,-0.32209638003973,1.87393777814798,-0.93175787012996,-1.21102294463658,0.075005699638235,-0.0985951785058908,4,23.8553995779429,92.118542985595
"646",646,646,-0.337729955457016,0.776011765725327,0.729215283682587,-1.72528148529465,-0.00493454995724208,-0.0991009584806532,4,10.6544901065449,66.0578386605784
"647",647,647,-0.309958600650149,1.06734289445542,-0.872347491256222,-0.643485165698672,0.36791653785067,-0.097162135244064,4,16.8302945301543,92.7769985974755
"648",648,648,-0.302024443756691,0.870815018170732,0.222696440845224,-0.892155331196466,-0.396092565153431,-0.0985108818434304,4,17.6216807437565,123.898644953515
"649",649,649,-0.302111116385478,1.38381823825104,0.202070222785018,-0.803657293146582,1.3473371531235,-0.0964877619443808,4,7.91091097182499,66.877624292582
"650",650,650,-0.312811574681024,0.483346258341407,0.499806877483383,-0.68383764507599,0.0880493854023825,-0.098848068493272,4,33.4075723830735,97.1046770601336
"651",651,651,-0.292067925524893,0.468699493672381,-0.610072933227341,0.179100799721935,-0.170002011908208,-0.0983001401872794,4,16.6545227438326,86.3953367336317
"652",652,652,-0.295498717081008,1.0542393470377,-0.427263333616576,-1.17482212002702,0.134503213650136,-0.09842658518097,4,17.520805957074,76.7082785808147
"653",653,653,-0.281230235567103,-0.912807979976662,2.69481428153426,-0.767410315444194,0.505218493262749,-0.0986794751683512,4,21.156875984695,93.0902543326581
"654",654,654,-0.310225841255573,0.566718338192491,-0.718953994943665,-0.998042918772633,-0.260697581344298,-0.0977100635500566,4,20.4426899760327,84.9429014521359
"655",655,655,-0.273231074202056,-0.483716676491027,0.243971048843774,-0.304078472242893,-0.684579229247033,-0.0973307285689848,4,18.829308227589,77.8550961932051
"656",656,656,-0.195478503461894,-0.339088473800324,0.431159388902645,1.17208048283164,0.319860853456442,-0.0962348719569996,4,19.5822454308094,75.1523063533507
"657",657,657,-0.240252138948959,0.899346516045252,0.376248022472816,-0.776605092534519,0.0740903532688211,-0.0951811636762445,4,20.5589654966927,82.3252487932781
"658",658,658,-0.225525014774395,0.907714122145322,-1.36837022121262,0.447942511471604,1.1324595929036,-0.0911770722093754,4,21.519659936238,124.734325185972
"659",659,659,-0.147971068808534,-1.59063889275288,0.117601457423656,2.06626096039246,-1.04415779469844,-0.08793165070465,4,11.1646790154783,64.8735515520595
"660",660,660,-0.326758645196514,-0.958871738639159,-1.21157766922468,1.84323258771892,0.520703102678667,-0.099058810149423,4,15.6119900083264,100.957535387177
"661",661,661,0.599717586133483,-0.171856281656344,0.713714959610956,0.574028258691931,0.521694727912198,-0.00325565326317608,4,15.8555417372714,83.6285895706605
"662",662,662,0.750997436960486,0.21603776368107,0.750459811187235,0.421854681111453,2.48160386255551,0.0750980944937676,4,7.46649006794506,65.3090639943125
"663",663,663,-0.223123460685114,-0.185271490792278,0.118809463647111,0.455392314636253,-0.382743763932813,-0.0957712403134674,4,28.4558151677327,96.6453465605012
"664",664,664,-0.220823024662751,1.74017995953877,-1.0723476365781,-0.197796296811133,1.51110787438446,-0.0953919053323956,4,15.6643212983411,76.4727029941965
"665",665,665,0.310779932637019,0.334971801015116,0.240375142643806,0.617685398331531,0.256778232831004,-0.0130762144398129,4,11.5501356469419,74.7266915576567
"666",666,666,0.0270787504630459,0.328722066329811,0.564079844582624,0.46736116083732,-0.0491762911455786,-0.0691334949759803,4,16.2659057321052,77.0074451374237
"667",667,667,-0.195915477965357,0.194135972907734,1.32203643541514,0.0502559783901398,-0.24940830945486,-0.0952654603387049,4,15.0526843953838,72.9509806060342
"668",668,668,0.124975484676901,1.31731711776047,0.0205256464897014,-0.693330241715266,0.852592440455309,-0.0859928274680607,4,16.4816808344779,82.4084041723895
"669",669,669,0.0399496358377759,0.143306935684907,0.354577787684963,0.715050495532192,0.381112781343053,-0.0922307804901305,4,21.3223452780452,78.8386969078101
"670",670,670,0.354076522075189,0.262336520063873,-0.121750810676802,1.25428301775479,0.685770564629633,-0.0358363133041215,4,10.9017129821232,69.4832789930047
"671",671,671,-0.303949298387649,0.202810708036505,0.588879392635771,-0.965011192991976,0.180880763033771,-0.0992274034743438,4,15.0715900527506,83.7729213765386
"672",672,672,-0.238078100510242,1.68038015399493,-0.035403478400693,-1.31544233075806,0.378214184506576,-0.0956447953197768,4,18.1477578737853,119.980096007493
"673",673,673,-0.282346145662724,0.230367769052537,0.452541744893628,-0.848977238021201,0.00841425126337671,-0.098005101868668,4,15.5208618643294,85.0908426915001
"674",674,674,-0.232411877403354,0.549246467096209,-0.0670173561771609,-0.1756530870606,-0.0837306165909518,-0.0978365085437472,4,10.3545742031176,68.6760137687852
"675",675,675,-0.281840555328138,1.6297366144639,-1.20748893796838,-1.16567996894396,0.445110748337905,-0.0945067903765613,4,10.8863285856845,64.047899845777
"676",676,676,-0.3038445689612,0.635316485705619,-0.0330710774068651,-0.0980683659890588,-0.247348780123679,-0.098005101868668,4,24.4468125117533,89.0114711966401
